ID,Feature,Screen,State,Variant,Width,Height,TextScale,Keyboard,Fixture,Filename,SHA256,Notes
AHDASH-V10-0079,Blocked Players,36 Blocked Players,Representative,Compact,360,800,1.0,No,TEST-ONLY,26_compact/36_blocked_players_compact_360x800.png,f050d8fbe30d50feb569975d84360a9479841858b38a0919472675dd677f25cc,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0080,Team Detail,37 Team Detail,Representative,Compact,360,800,1.0,No,TEST-ONLY,26_compact/37_team_detail_compact_360x800.png,b4dca56491837e0aeb7f45377a73e8b0e9da836b8a9e08a400e604eba34b6aab,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0081,Profile,38 Profile,Representative,Compact,360,800,1.0,No,TEST-ONLY,26_compact/38_profile_compact_360x800.png,1ceb60094371564203db0b00c0ced65050ed906ab91dea81349507ea8df16883,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0082,Notifications,39 Notifications,Representative,Compact,360,800,1.0,No,TEST-ONLY,26_compact/39_notifications_compact_360x800.png,268fb4ca385b821573f0569f481fa74604a60f4a75dc43b5e68fb43bf47f30ef,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0083,Settings,40 Settings,Representative,Compact,360,800,1.0,No,TEST-ONLY,26_compact/40_settings_compact_360x800.png,bc9118c4377f7a8b22ca8e9c1817635784641969fb518402c7f3b700d26e0336,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0084,Report,41 Report a Problem,Representative,Compact,360,800,1.0,No,TEST-ONLY,26_compact/41_report_compact_360x800.png,9ed5e9236ff4b34a2934e59dc723c31785ae0a1ebe3ee2a899efc856bc483ee5,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0085,Football Preferences,42 Football Preferences,Representative,Compact,360,800,1.0,No,TEST-ONLY,26_compact/42_football_preferences_compact_360x800.png,2d8805d7beb0a8cae48ce8c9bf2be4be60d30e85063f1f927019c212a2ccc8e8,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0086,Premium,43 Premium,Representative,Compact,360,800,1.0,No,TEST-ONLY,26_compact/43_premium_compact_360x800.png,274d7863cfea3516039a164aafd46892db64f6e89a34a2e8d61a8cb1bd62a120,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0087,Team Challenge,33 Team Challenge,Verified result,Compact,360,800,1.0,No,TEST-ONLY,26_compact/33_team_challenge_result_compact_360x800.png,b5d3cacff43869e4805e09f952c6e181e78e9533ce28f847bf9fe929aa8fa443,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0088,Team Challenge,33 Team Challenge,Unavailable,Compact,360,800,1.0,No,TEST-ONLY,26_compact/33_team_challenge_unavailable_compact_360x800.png,d38a289ebb7d223be5172b3a6970fad4bd084e0d7e424149ad9f1dd0930d52f2,Exact logical-pixel Flutter render; copied losslessly.
